ก.	k @@ 
เกียรติภูมิ	k iia t^ t i ph uu m^ 
เกียรติยศ	k iia t^ t i j o t^ 
เกี่ยว	k iia w^ 
เกี่ยวกับ	k iia w^ k a p^ 
เกี่ยวข้อง	k iia w^ kh @ ng^ 
เกี่ยวข้อง	k iia w^ kh @@ ng^ 
เกี่ยวพัน	k iia w^ ph a n^ 
เกี่ยวเนื่อง	k iia w^ n vva ng^ 
เกี่ยวโยง	k iia w^ j oo ng^ 
เกือบ	k vva p^ 
เกือบจะ	k vva p^ c a 
เกื้อกูล	k vva k uu n^ 
เกื้อหนุน	k vva n u n^ 
เก็บ	k e p^ 
เก่ง	k e ng^ 
เก่า	k a w^ 
เก่าแก่	k a w^ k xx 
เก้า	k a w^ 
เก้า	k aa w^ 
เก้าอี้	k a w^ z ii 
เขต	kh ee t^ 
เขมร	kh a m ee n^ 
เขย	kh qq j^ 
เขยิบ	kh a j q p^ 
เขลา	khl a w^ 
เขา	kh a w^ 
เขียง	kh iia ng^ 
เขียน	kh iia n^ 
เขียว	kh iia w^ 
เขื่อน	kh vva n^ 
เข็มฉีดยา	kh e m^ ch ii t^ j aa 
เข่นฆ่า	kh e n^ kh aa 
เข้มข้น	kh e m^ kh o n^ 
เข้มงวด	kh e m^ ng uua t^ 
เข้มแข็ง	kh e m^ kh x ng^ 
เข้า	kh a w^ 
เข้าใจ	kh a w^ c a j^ 
เคมี	kh ee m ii 
เคย	kh qq j^ 
เครดิต	khr ee d i t^ 
เครมลิน	khr ee m^ l i n^ 
เคราะห์กรรม	khr @ k a m^ 
เครียด	khr iia t^ 
เครือ	khr vva 
เครือข่าย	khr vva kh aa j^ 
เครื่อง	khr vva ng^ 
เครื่องจักร	khr vva ng^ c a k^ 
เครื่องจักสาน	khr vva ng^ c a k^ s aa n^ 
เครื่องช่วย	khr vva ng^ ch uua j^ 
เครื่องดนตรี	khr vva ng^ d o n^ tr ii 
เครื่องนุ่งห่ม	khr vva ng^ n u ng^ h o m^ 
เครื่องปั้นดินเผา	khr vva ng^ p a n^ d i n^ ph a w^ 
เครื่องมือ	khr vva ng^ m vv 
เครื่องหมาย	khr vva ng^ m aa j^ 
เครื่องเทศ	khr vva ng^ th ee t^ 
เครื่องใช้	khr vva ng^ ch a j^ 
เครื่องไม้	khr vva ng^ m aa j^ 
เคร่งครัด	khr e ng^ khr a t^ 
เคร่งเครียด	khr e ng^ khr iia t^ 
เคลลี่	kh e n^ l ii 
เคลื่อน	khl vva n^ 
เคลื่อนที่	khl vva n^ th ii 
เคลื่อนย้าย	khl vva n^ j aa j^ 
เคลื่อนไหว	khl vva n^ w a j^ 
เคารพ	kh a w^ r o p^ 
เคาะ	kh @ 
เคียงข้าง	kh iia ng^ kh aa ng^ 
เคียดแค้น	kh iia t^ kh xx n^ 
เค้า	kh a w^ 
เงา	ng a w^ 
เงาะ	ng @ 
เงิน	ng q n^ 
เงิน	ng qq n^ 
เงินตรา	ng q n^ tr aa 
เงินเดือน	ng qq n^ d vva n^ 
เงียบ	ng iia p^ 
เงียบเหงา	ng iia p^ ng a w^ 
เงื่อนปม	ng vva n^ p o m^ 
เงื่อนไข	ng vva n^ kh a j^ 
เจดีย์	c ee d ii 
เจตคติ	c ee t a kh a t i 
เจตจำนง	c ee t^ c a m^ n o ng^ 
เจตนา	c ee t^ t a n aa 
เจตนารมณ์	c ee t^ t a n aa r o m^ 
เจตภูต	c ee t^ t a ph uu t^ 
เจนจัด	c ee n^ c a t^ 
เจรจา	c ee r a c aa 
เจริญ	c a r qq n^ 
เจาะจง	c @ c o ng^ 
เจียงไคเช็ก	c iia ng^ kh a j^ ch e k^ 
เจ็ด	c e t^ 
เจ็บ	c e p^ 
เจ็บปวด	c e p^ p uua t^ 
เจ็บป่วย	c e p^ p uua j^ 
เจ็บแค้น	c e p^ kh xx n^ 
เจ็บไข้ได้ป่วย	c e p^ kh a j^ d aa j^ p uua j^ 
เจ้า	c a w^ 
เจ้ากรม	c a w^ kr o m^ 
เจ้าของ	c a w^ kh @@ ng^ 
เจ้าคณะ	c aa w^ kh a n a 
เจ้าคุณ	c a w^ kh u n^ 
เจ้าตัว	c a w^ t uua 
เจ้านาย	c a w^ n aa j^ 
เจ้าพนักงาน	c a w^ ph a n a k^ ng aa n^ 
เจ้าพระยา	c a w^ phr a j aa 
เจ้าพระยา	c aa w^ phr a j aa 
เจ้าพ่อ	c a w^ ph @@ 
เจ้าฟ้า	c a w^ f aa 
เจ้าฟ้า	c aa w^ f aa 
เจ้าภาพ	c aa w^ ph aa p^ 
เจ้าระเบียบ	c aa w^ r a b iia p^ 
เจ้าวัด	c aa w^ w a t^ 
เจ้าหน้าที่	c a w^ n aa th ii 
เจ้าอยู่หัว	c a w^ j uu h uua 
เจ้าอยู่หัว	c aa w^ j uu h uua 
เฉพาะ	ch a ph @ 
เฉพาะกาล	ch a ph @ k aa n^ 
เฉพาะตัว	ch a ph @ t uua 
เฉพาะที่	ch a ph @ th ii 
เฉพาะหน้า	ch a ph @ n aa 
เฉย	ch qq j^ 
เฉลิม	ch a l qq m^ 
เฉลิมฉลอง	ch a l qq m^ ch a l @@ ng^ 
เฉลิมพระชนมพรรษา	ch a l qq m^ phr a ch o n^ m a ph a n^ s aa 
เฉลียวฉลาด	ch a l iia w^ ch a l aa t^ 
เฉลี่ย	ch a l iia 
เฉียบพลัน	ch iia p^ phl a n^ 
เชคโกสโลวเกีย	ch e k^ k oo s a l oo w a k iia 
เชลย	ch a l qq j^ 
เชาวน์ปัญญา	ch a w^ p a n^ j aa 
เชิง	ch qq ng^ 
เชิญ	ch qq n^ 
เชิญชวน	ch qq n^ ch uua n^ 
เชียงใหม่	ch iia ng^ m a j^ 
เชี่ยวชาญ	ch iia w^ ch aa n^ 
เชื่อ	ch vva 
เชื่องช้า	ch vva ng^ ch aa 
เชื่อถือ	ch vva th vv 
เชื่อฟัง	ch vva f a ng^ 
เชื่อม	ch vva m^ 
เชื่อมต่อ	ch vva m^ t @@ 
เชื่อมั่น	ch vva m a n^ 
เชื่อมโยง	ch vva m^ j oo ng^ 
เชื้อ	ch vva 
เชื้อชาติ	ch vva ch aa t^ 
เชื้อบ้า	ch vva b aa 
เชื้อสาย	ch vva s aa j^ 
เชื้อเพลิง	ch vva phl qq ng^ 
เชื้อโรค	ch vva r oo k^ 
เช่น	ch e n^ 
เช่นกัน	ch e n^ k a n^ 
เช่นนั้น	ch e n^ n a n^ 
เช่นนี้	ch e n^ n ii 
เช่นเดียว	ch e n^ d iia w^ 
เช่นเดียวกัน	ch e n^ d iia w^ k a n^ 
เช่นเดียวกับ	ch e n^ d iia w^ k a p^ 
เช่นไร	ch e n^ r a j^ 
เช่า	ch a w^ 
เช้า	ch aa w^ 
เช้ามืด	ch aa w^ m vv t^ 
เซลล์	s ee w^ 
เซียมซี	s iia m^ s ii 
เซ็กส์	s e k^ 
เซ็น	s e n^ 
เซ็นทรัล	s e n^ thr a n^ 
เดอะ	d q 
เดอะบอสส์	d q b @@ s^ 
เดา	d a w^ 
เดิน	d qq n^ 
เดินทาง	d qq n^ th aa ng^ 
เดิม	d qq m^ 
เดียรัจฉาน	d iia r a t^ ch aa n^ 
เดียว	d iia w^ 
เดียวกัน	d iia w^ k a n^ 
เดียวกับ	d iia w^ k a p^ 
เดี่ยว	d iia w^ 
เดี๋ยวนี้	d iia w^ n ii 
เดือดร้อน	d vva t^ r @@ n^ 
เดือน	d vva n^ 
เด็ก	d e k^ 
เด็กสาว	d e k^ s aa w^ 
เด็กหญิง	d e k^ j i ng^ 
เด็กหนุ่ม	d e k^ n u m^ 
เด็ดขาด	d e t^ kh aa t^ 
เด็ดเดี่ยว	d e t^ d iia w^ 
เด่น	d e n^ 
เตมียเวส	t ee m ii j a w ee t^ 
เตรียม	tr iia m^ 
เตรียมพร้อม	tr iia m^ phr @@ m^ 
เตา	t a w^ 
เติบโต	t qq p^ t oo 
เติม	t qq m^ 
เตียง	t iia ng^ 
เตี่ย	t iia 
เตือน	t vva n^ 
เต็ม	t e m^ 
เต็มที่	t e m^ th ii 
เต็มเปี่ยม	t e m^ p iia m^ 
เต็มใจ	t e m^ c a j^ 
เต็มไปด้วย	t e m^ p a j^ d uua j^ 
เต่า	t a w^ 
เต้น	t e n^ 
เถาทอง	th a w^ th @@ ng^ 
เถิด	th qq t^ 
เถียง	th iia ng^ 
เถื่อน	th vva n^ 
เทคนิค	th e k^ n i k^ 
เทคนิค	th ee k^ n i k^ 
เทคโนโลยี	th e k^ n oo l oo j ii 
เทป	th ee p^ 
เทวดา	th ee w a d aa 
เทศกาล	th ee t^ s a k aa n^ 
เทศนา	th ee t^ s a n aa 
เทศน์	th ee t^ 
เทอร์มินัล	th qq m i n a n^ 
เทียน	th iia n^ 
เทียนชัย	th iia n^ ch a j^ 
เทียบ	th iia p^ 
เทียบเคียง	th iia p^ kh iia ng^ 
เทียม	th iia m^ 
เที่ยง	th iia ng^ 
เที่ยงธรรม	th iia ng^ th a m^ 
เที่ยว	th iia w^ 
เที่ยวเตร่	th iia w^ tr ee 
เทเวศร์วงศ์วิวัฒน์	th ee w ee t^ w o ng^ w i w a t^ 
เท็จ	th e t^ 
เท่า	th a w^ 
เท่านั้น	th a w^ n a n^ 
เท่าเทียม	th a w^ th iia m^ 
เท่าใด	th a w^ d a j^ 
เท่าไหร่	th a w^ r a j^ 
เท้า	th a w^ 
เท้า	th aa w^ 
เธอ	th qq 
เนรเทศ	n ee r a th ee t^ 
เนิน	n qq n^ 
เนือง	n vva ng^ 
เนืองแน่น	n vva ng^ n xx n^ 
เนื่อง	n vva ng^ 
เนื่องจาก	n vva ng^ c aa k^ 
เนื่องด้วย	n vva ng^ d uua j^ 
เนื่องมาจาก	n vva ng^ m aa c aa k^ 
เนื้อ	n vva 
เนื้อความ	n vva khw aa m^ 
เนื้อที่	n vva th ii 
เนื้อหา	n vva h aa 
เนื้อเยื่อ	n vva j vva 
เนื้อเรื่อง	n vva r vva ng^ 
เนื้อแท้	n vva th xx 
เนเธอร์แลนด์	n ee th qq l xx n^ 
เน้น	n e n^ 
เน้นหนัก	n e n^ n a k^ 
เบญจขันธ์	b e n^ c a kh a n^ 
เบรก	br ee k^ 
เบสิก	b ee s i k^ 
เบอร์	b qq 
เบา	b a w^ 
เบาบาง	b a w^ b aa ng^ 
เบิก	b qq k^ 
เบียดเบียน	b iia t^ b iia n^ 
เบี่ยงเบน	b iia ng^ b ee n^ 
เบี้ย	b iia 
เบื่อหน่าย	b vva n aa j^ 
เบื้อง	b vva ng^ 
เบื้องต้น	b vva ng^ t o n^ 
เบื้องหลัง	b vva ng^ l a ng^ 
เบื้องแรก	b vva ng^ r xx k^ 
เบ็ดเสร็จ	b e t^ s e t^ 
เบ่งบาน	b e ng^ b aa n^ 
เปรม	pr ee m^ 
เปรียญ	p a r iia n^ 
เปรียบ	pr iia p^ 
เปรียบเทียบ	pr iia p^ th iia p^ 
เปลี่ยน	pl iia n^ 
เปลี่ยนแปลง	pl iia n^ pl xx ng^ 
เปลือก	pl vva k^ 
เปลือง	pl vva ng^ 
เปล่ง	pl e ng^ 
เปล่า	pl aa w^ 
เปอร์เซีย	p qq s iia 
เปอร์เซ็นต์	p qq s e n^ 
เปิด	p qq t^ 
เปิดเผย	p qq t^ ph qq j^ 
เปิดโปง	p qq t^ p oo ng^ 
เปียโน	p iia n oo 
เป็น	p e n^ 
เป็นจริง	p e n^ c i ng^ 
เป็นตัวเป็นตน	p e n^ t uua p e n^ t o n^ 
เป็นต้น	p e n^ t o n^ 
เป็นต้นไป	p e n^ t o n^ p a j^ 
เป็นธรรม	p e n^ th a m^ 
เป็นมา	p e n^ m aa 
เป็นล่ำเป็นสัน	p e n^ l a m^ p e n^ s a n^ 
เป็นสุข	p e n^ s u k^ 
เป็นห่วง	p e n^ h uua ng^ 
เป็นอยู่	p e n^ j uu 
เป็นอันขาด	p e n^ z a n^ kh aa t^ 
เป็นอันมาก	p e n^ z a n^ m aa k^ 
เป็นเลิศ	p e n^ l qq t^ 
เป็นแน่	p e n^ n xx 
เป็นใหญ่	p e n^ j a j^ 
เป้า	p a w^ 
เป้าประสงค์	p a w^ pr a s o ng^ 
เป้าหมาย	p a w^ m aa j^ 
เป๊าะ	p @ 
เผชิญ	ph a ch qq n^ 
เผชิญหน้า	ph a ch qq n^ n aa 
เผด็จการ	ph a d e t^ k aa n^ 
เผย	ph qq j^ 
เผยแพร่	ph qq j^ phr xx 
เผอิญ	ph a z qq n^ 
เผื่อ	ph vva 
เผ่า	ph a w^ 
เผ่าพันธุ์	ph a w^ ph a n^ 
เฝ้า	f a w^ 
เพชร	ph e t^ 
เพราะ	phr @ 
เพราะฉะนั้น	phr @ ch a n a n^ 
เพราะว่า	phr @ w aa 
เพลง	phl ee ng^ 
เพลิง	phl qq ng^ 
เพลิดเพลิน	phl qq t^ phl qq n^ 
เพศ	ph ee t^ 
เพศสัมพันธ์	ph ee t^ s a m^ ph a n^ 
เพาะ	ph @ 
เพาะปลูก	ph @ pl uu k^ 
เพาะเลี้ยง	ph @ l iia ng^ 
เพิกถอน	ph qq k^ th @@ n^ 
เพิกเฉย	ph qq k^ ch qq j^ 
เพิ่ง	ph q ng^ 
เพิ่ม	ph q m^ 
เพิ่ม	ph qq m^ 
เพิ่มพูน	ph qq m^ ph uu n^ 
เพิ่มเติม	ph qq m^ t qq m^ 
เพียง	ph iia ng^ 
เพียงนี้	ph iia ng^ n ii 
เพียงพอ	ph iia ng^ ph @@ 
เพียงแค่	ph iia ng^ kh xx 
เพียงแต่	ph iia ng^ t xx 
เพียงใด	ph iia ng^ d a j^ 
เพียงไร	ph iia ng^ r a j^ 
เพื่อ	ph vva 
เพื่อที่จะ	ph vva th ii c a 
เพื่อน	ph vva n^ 
เพื่อนบ้าน	ph vva n^ b aa n^ 
เพื่อนฝูง	ph vva n^ f uu ng^ 
เพื่อให้	ph vva h a j^ 
เพ่ง	ph e ng^ 
เพ่งเล็ง	ph e ng^ l e ng^ 
เพ่นพ่าน	ph e n^ ph aa n^ 
เพ้อฝัน	ph qq f a n^ 
เฟโดรอฟ	f ee d oo r @@ f^ 
เมดิเตอร์เรเนียน	m ee d i t qq r ee n iia n^ 
เมตตา	m ee t^ t aa 
เมตตาธรรม	m ee t^ t aa th a m^ 
เมตร	m ee t^ 
เมษ	m ee t^ 
เมษายน	m ee s aa j o n^ 
เมา	m a w^ 
เมามาย	m a w^ m aa j^ 
เมีย	m iia 
เมียด	m iia t^ 
เมียน้อย	m iia n @@ j^ 
เมียหลวง	m iia l uua ng^ 
เมือง	m vva ng^ 
เมืองนอก	m vva ng^ n @@ k^ 
เมืองหลวง	m vva ng^ l uua ng^ 
เมื่อ	m vva 
เมื่อกี้	m vva k ii 
เมื่อก่อน	m vva k @@ n^ 
เมื่อครั้ง	m vva khr a ng^ 
เมื่อใด	m vva d a j^ 
เมื่อไร	m vva r a j^ 
เม็กซิกัน	m e k^ s i k a n^ 
เม็กซิโก	m e k^ s i k oo 
เม็ด	m e t^ 
เยลต์ซิน	j ee w^ s i n^ 
เยอรมนี	j qq r a m a n ii 
เยอรมัน	j qq r a m a n^ 
เยอะ	j q 
เยอะแยะ	j q j x 
เยาวชน	j a w^ w a ch o n^ 
เยาว์	j a w^ 
เยาว์วัย	j a w^ w a j^ 
เยาะเย้ย	j @ j qq j^ 
เยียวยา	j iia w^ j aa 
เยี่ยม	j iia m^ 
เยือกเย็น	j vva k^ j e n^ 
เยือน	j vva n^ 
เยื่อ	j vva 
เย็น	j e n^ 
เรา	r a w^ 
เริ่ม	r qq m^ 
เริ่มต้น	r qq m^ t o n^ 
เรียก	r iia k^ 
เรียกร้อง	r iia k^ r @@ ng^ 
เรียง	r iia ng^ 
เรียงความ	r iia ng^ khw aa m^ 
เรียน	r iia n^ 
เรียนรู้	r iia n^ r uu 
เรียบ	r iia p^ 
เรียบร้อย	r iia p^ r @@ j^ 
เรียบเรียง	r iia p^ r iia ng^ 
เรือ	r vva 
เรือน	r vva n^ 
เรือนจำ	r vva n^ c a m^ 
เรื่อง	r vva ng^ 
เรื่องราว	r vva ng^ r aa w^ 
เรื่องสั้น	r vva ng^ s a n^ 
เรื่อย	r vva j^ 
เรื้อรัง	r vva r a ng^ 
เร็ว	r e w^ 
เร่ง	r e ng^ 
เร่งด่วน	r e ng^ d uua n^ 
เร่งรัด	r e ng^ r a t^ 
เร่งรีบ	r e ng^ r ii p^ 
เร่งเร้า	r e ng^ r a w^ 
เร่ร่อน	r ee r @ n^ 
เร้น	r e n^ 
เร้า	r a w^ 
เลข	l ee k^ 
เลขที่	l ee k^ th ii 
เลขหมาย	l ee k^ m aa j^ 
เลขาธิการ	l ee kh aa th i k aa n^ 
เลขานุการ	l ee kh aa n u k aa n^ 
เลย	l qq j^ 
เลว	l ee w^ 
เลวร้าย	l ee w^ r aa j^ 
เลวิน	l ee w i n^ 
เลิก	l qq k^ 
เลิกรา	l qq k^ r aa 
เลิศเลอ	l qq t^ l qq 
เลียน	l iia n^ 
เลี่ยง	l iia ng^ 
เลี้ยง	l iia ng^ 
เลี้ยงดู	l iia ng^ d uu 
เลือก	l vva k^ 
เลือกตั้ง	l vva k^ t a ng^ 
เลือกสรร	l vva k^ s a n^ 
เลือด	l vva t^ 
เลือดเนื้อ	l vva t^ n vva 
เลือน	l vva n^ 
เลื่อน	l vva n^ 
เลื่อนลอย	l vva n^ l @@ j^ 
เลื่อมใส	l vva m^ s a j^ 
เล็ก	l e k^ 
เล็กน้อย	l e k^ n @@ j^ 
เล็ง	l e ng^ 
เล็งเห็น	l e ng^ h e n^ 
เล่น	l e n^ 
เล่นงาน	l e n^ ng aa n^ 
เล่ม	l e m^ 
เล่า	l a w^ 
เล่าปี่	l a w^ p ii 
เล่าลือ	l a w^ l vv 
เล่าเรียน	l a w^ r iia n^ 
เล้ง	l e ng^ 
เวทมนตร์	w ee t^ m o n^ 
เวที	w ee th ii 
เวลา	w ee l aa 
เวสนันท์	w ee t^ s a n a n^ 
เวหา	w ee h aa 
เวิลด์โฟน	w qq w^ f oo n^ 
เวียงจันทน์	w iia ng^ c a n^ 
เวียดนาม	w iia t^ n aa m^ 
เว้น	w e n^ 
เว้นไว้แต่	w e n^ w a j^ t xx 
เศรษฐกิจ	s ee t^ th a k i t^ 
เศรษฐศาสตร์	s ee t^ th a s aa t^ 
เศรษฐี	s ee t^ th ii 
เศร้า	s a w^ 
เศร้าหมอง	s a w^ m @@ ng^ 
เศร้าโศก	s a w^ s oo k^ 
เสงี่ยม	s a ng iia m^ 
เสด็จ	s a d e t^ 
เสถียรภาพ	s a th iia n^ r a ph aa p^ 
เสนอ	s a n qq 
เสนอแนะ	s a n qq n x 
เสนาธิการ	s ee n aa th i k aa n^ 
เสนาะ	s a n @ 
เสน่ห์	s a n ee 
เสพ	s ee p^ 
เสมอ	s a m qq 
เสมอภาค	s a m qq ph aa k^ 
เสมือน	s a m vva n^ 
เสริม	s qq m^ 
เสรี	s ee r ii 
เสรีภาพ	s ee r ii ph aa p^ 
เสรีไทย	s ee r ii th a j^ 
เสร็จ	s e t^ 
เสร็จสิ้น	s e t^ s i n^ 
เสวนา	s e w a n aa 
เสาร์	s a w^ 
เสีย	s iia 
เสียก่อน	s iia k @@ n^ 
เสียง	s iia ng^ 
เสียดาย	s iia d aa j^ 
เสียที	s iia th ii 
เสียวเหา	s iia w^ h a w^ 
เสียสละ	s iia s a l a 
เสียหาย	s iia h aa j^ 
เสียเปรียบ	s iia pr iia p^ 
เสียแล้ว	s iia l xx w^ 
เสียใจ	s iia c a j^ 
เสี่ย	s iia 
เสี่ยง	s iia ng^ 
เสือ	s vva 
เสื่อม	s vva m^ 
เสื่อมถอย	s vva m^ th @ j^ 
เสื่อมถอย	s vva m^ th @@ j^ 
เสื่อมโทรม	s vva m^ s oo m^ 
เสื้อ	s vva 
เสื้อผ้า	s vva ph aa 
เส้น	s e n^ 
เส้นทาง	s e n^ th aa ng^ 
เส้นสาย	s e n^ s aa j^ 
เหงา	ng a w^ 
เหตุ	h ee t^ 
เหตุการณ์	h ee t^ k aa n^ 
เหตุจูงใจ	h ee t^ c uu ng^ c a j^ 
เหตุผล	h ee t^ ph o n^ 
เหตุใด	h ee t^ d a j^ 
เหนียวแน่น	n iia w^ n x n^ 
เหนือ	n vva 
เหนื่อย	n vva j^ 
เหน็ดเหนื่อย	n e t^ n vva j^ 
เหมาะ	m @ 
เหมาะสม	m @ s o m^ 
เหมาเจ๋อตุง	m a w^ c qq t u ng^ 
เหมือน	m vva n^ 
เหมือนว่า	m vva n^ w aa 
เหม็น	m e n^ 
เหยียดหยาม	j iia t^ j aa m^ 
เหยื่อ	j vva 
เหรอ	r qq 
เหรียญ	r iia n^ 
เหลวแหลก	l ee w^ l xx k^ 
เหลียวแล	l iia w^ l xx 
เหลี่ยม	l iia m^ 
เหลือ	l vva 
เหลือง	l vva ng^ 
เหลือเกิน	l vva k qq n^ 
เหล่า	l a w^ 
เหล่าทัพ	l a w^ th a p^ 
เหล่านั้น	l a w^ n a n^ 
เหล่านี้	l a w^ n ii 
เหล้า	l a w^ 
เหา	h a w^ 
เหาะ	h @ 
เหี้ย	h iia 
เห็น	h e n^ 
เห็นด้วย	h e n^ d uua j^ 
เห็นพ้อง	h e n^ ph @@ ng^ 
เห็นอกเห็นใจ	h e n^ z o k^ h e n^ c a j^ 
เห็นแก่	h e n^ k xx 
เห็นได้	h e n^ d aa j^ 
เห็นได้ว่า	h e n^ d aa j^ w aa 
เอ	z ee 
เอก	z ee k^ 
เอกฉันท์	z ee k^ k a ch a n^ 
เอกชน	z ee k^ k a ch o n^ 
เอกภาพ	z ee k^ k a ph aa p^ 
เอกราช	z ee k^ k a r aa t^ 
เอกลักษณะ	z ee k^ k a l a k^ s a n a 
เอกลักษณ์	z ee k^ k a l a k^ 
เอกสาร	z ee k^ k a s aa n^ 
เอกสารสิทธิ์	z ee k^ k a s aa n^ s i t^ 
เอง	z ee ng^ 
เองเกลส์	z e ng^ k ee w^ 
เองเกลส์	z ee ng^ k ee l^ 
เองเกลส์	z ee ng^ k ee w^ 
เอดส์	z ee t^ 
เอนเอียง	z ee n^ z iia ng^ 
เอา	z a w^ 
เอาจริงเอาจัง	z a w^ c i ng^ z a w^ c a ng^ 
เอาชนะ	z a w^ ch a n a 
เอารัดเอาเปรียบ	z a w^ r a t^ z a w^ pr iia p^ 
เอาอย่าง	z a w^ j aa ng^ 
เอาใจใส่	z a w^ c a j^ s a j^ 
เอียง	z iia ng^ 
เอื้อ	z vva 
เอื้ออำนวย	z vva z a m^ n uua j^ 
เอเชีย	z ee ch iia 
เอ็ด	z e t^ 
เอ็นดู	z e n^ d uu 
เอ่ย	z qq j^ 
เอ๊ะ	z e 
แก	k xx 
แกตต์	k x t^ 
แกนกลาง	k xx n^ kl aa ng^ 
แกลเลอรี่	k xx l^ l qq r ii 
แกะสลัก	k x s a l a k^ 
แก่	k xx 
แก่งแย่ง	k x ng^ j xx ng^ 
แก้	k xx 
แก้ตัว	k xx t uua 
แก้ว	k xx w^ 
แก้วหู	k xx w^ h uu 
แก้ไข	k xx kh a j^ 
แก๊ง	k x ng^ 
แก๊ง	k xx ng^ 
แก๊งสเตอร์	k x ng^ s a t qq 
แข	kh xx 
แขก	kh xx k^ 
แขน	kh xx n^ 
แขนง	kh a n xx ng^ 
แข็งกร้าว	kh x ng^ kr aa w^ 
แข็งขัน	kh x ng^ kh a n^ 
แข็งแกร่ง	kh x ng^ kr x ng^ 
แข็งแรง	kh x ng^ r xx ng^ 
แข่งขัน	kh x ng^ kh a n^ 
แข่งขัน	kh xx ng^ kh a n^ 
แข้ง	kh xx ng^ 
แคบ	kh xx p^ 
แคว้น	khw xx n^ 
แค่	kh xx 
แค้น	kh xx n^ 
แง่	ng xx 
แง่มุม	ng xx m u m^ 
แจก	c xx k^ 
แจกจ่าย	c xx k^ c aa j^ 
แจกแจง	c xx k^ c xx ng^ 
แจ่มแจ้ง	c x m^ c xx ng^ 
แจ้ง	c xx ng^ 
แดง	d xx ng^ 
แดด	d xx t^ 
แดน	d xx n^ 
แด่	d xx 
แตก	t xx k^ 
แตกต่าง	t xx k^ t aa ng^ 
แตกหัก	t xx k^ h a k^ 
แตกแยก	t xx k^ j xx k^ 
แตะ	t x 
แตะต้อง	t x t @ ng^ 
แต่	t xx 
แต่ก่อน	t xx k @@ n^ 
แต่ง	t x ng^ 
แต่ง	t xx ng^ 
แต่งงาน	t x ng^ ng aa n^ 
แต่งตัว	t xx ng^ t uua 
แต่งตั้ง	t x ng^ t a ng^ 
แต่งตั้ง	t xx ng^ t a ng^ 
แต่ประการใด	t xx pr a k aa n^ d a j^ 
แต่ละ	t xx l a 
แต่ว่า	t xx w aa 
แต่อย่างใด	t xx j aa ng^ d a j^ 
แต่เดิม	t xx d qq m^ 
แต่เพียง	t xx ph iia ng^ 
แถบ	th xx p^ 
แถลง	th a l xx ng^ 
แทง	th xx ng^ 
แทน	th xx n^ 
แทบ	th xx p^ 
แทรก	s xx k^ 
แทรกซึม	s xx k^ s v m^ 
แทรกแซง	s xx k^ s xx ng^ 
แท็กซี่	th x k^ s ii 
แท้	th xx 
แท้ง	th xx ng^ 
แท้จริง	th xx c i ng^ 
แท้ที่จริง	th xx th ii c i ng^ 
แนบแน่น	n xx p^ n x n^ 
แนว	n xx w^ 
แนวทาง	n xx w^ th aa ng^ 
แนวร่วม	n xx w^ r uua m^ 
แนวโน้ม	n xx w^ n oo m^ 
แนะ	n x 
แนะนำ	n x n a m^ 
แนะแนว	n x n xx w^ 
แน่	n xx 
แน่ชัด	n xx ch a t^ 
แน่น	n x n^ 
แน่นอน	n xx n @@ n^ 
แน่นแฟ้น	n x n^ f xx n^ 
แน่วแน่	n xx w^ n xx 
แน่ใจ	n xx c a j^ 
แบทเตน	b x t^ t e n^ 
แบน	b xx n^ 
แบบ	b xx p^ 
แบบจำลอง	b xx p^ c a m^ l @@ ng^ 
แบบฉบับ	b xx p^ ch a b a p^ 
แบบอย่าง	b xx p^ j aa ng^ 
แบบแผน	b xx p^ ph xx n^ 
แบ่ง	b x ng^ 
แบ่ง	b xx ng^ 
แบ่งปัน	b x ng^ p a n^ 
แบ่งแยก	b x ng^ j xx k^ 
แปง	p xx ng^ 
แปซิฟิก	p xx s i f i k^ 
แปด	p xx t^ 
แปร	pr xx 
แปรญัตติ	pr xx j a t^ t i 
แปรปรวน	pr xx pr uua n^ 
แปรผัน	pr xx ph a n^ 
แปล	pl xx 
แปลก	pl xx k^ 
แผน	ph xx n^ 
แผนการ	ph xx n^ k aa n^ 
แผนงาน	ph xx n^ ng aa n^ 
แผล	phl xx 
แผ่	ph xx 
แผ่นดิน	ph x n^ d i n^ 
แผ่นดิน	ph xx n^ d i n^ 
แฝง	f xx ng^ 
แพ	ph xx 
แพง	ph xx ng^ 
แพทย์	ph xx t^ 
แพร่	phr xx 
แพร่หลาย	phr xx l aa j^ 
แพะ	ph x 
แพ้	ph xx 
แฟน	f xx n^ 
แฟ้ม	f x m^ 
แมนฮัตตัน	m xx n^ h a t^ t a n^ 
แมลง	m a l xx ng^ 
แมว	m xx w^ 
แม่	m xx 
แม่ทัพ	m xx th a p^ 
แม่นยำ	m xx n^ j a m^ 
แม่น้ำ	m xx n aa m^ 
แม่บ้าน	m xx b aa n^ 
แม่เหล็ก	m xx l e k^ 
แม้	m xx 
แม้ว่า	m xx w aa 
แม้แต่	m xx t xx 
แยก	j xx k^ 
แยกตัว	j xx k^ t uua 
แยกแยะ	j xx k^ j x 
แย่	j xx 
แย่ง	j xx ng^ 
แย้ง	j xx ng^ 
แรก	r xx k^ 
แรกเกิด	r xx k^ k qq t^ 
แรกเริ่ม	r xx k^ r qq m^ 
